id;Serial ;Event ;Provincia ;Cantón ;Distrito ;Date ;Location ;Deaths ;Injured ;Missing ;Houses Destroyed ;Houses Damaged ;Directly affected ;Indirectly Affected ;Relocated ;Evacuated ;Losses $USD ;Losses $Local ;Education centers ;Hospitals ;Damages in crops Ha. ;Lost Cattle ;Damages in roads Mts ;GLIDEnumber ;Comments
66;2013-00306;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;16/9/2013; Cercanía de los Tanques de AyA, Barrio Novedades ;;;;;;;;;;0;0;;;;0;;;Se reportan varias viviendas inundadas no se especifica la cantidad y no se puede estimar los damnificados. Se reporta además que bajó una cabeza de [...] 
67;2014-00414;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;11/11/2014;  ;;;;;1;4;;;;0;0;;;;0;;;Las fuertes lluvias provocaron un deslizamiento que afectó a una vivienda. La cantidad de damnificados se pondera a partir del promedio nacional de [...] 
68;2017-00506;SPATE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;5/10/2017; San Juan de Dios, Calabacitas, Las Novedades ;;;;;;;;;;3055082;1756720000;;;;0;600;;Pérdidas en obras correctivas. Deterioro de la superficie de ruedo por cabeza de agua del Río Cañas. Esta afectación significa un gran riesgo para la [...] 
69;2018-00188;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;13/10/2018; San Juan De Dios Centro ;;;;;1;;;;4;0;0;;;;0;;;4 personas se encuentran en un albergue producto de la caída de un árbol en su vivienda. 
70;2019-00035;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;11/4/2019; Calle Pedrito Monge ;;;;;8;;;;32;0;0;;;;0;;;Vivienda: Precipitaciones provocaron que cerca de ocho familias pasaran la noche en un albergue, luego de que una quebrada se desbordara e inundara [...] 
71;2019-00223;DROUGHT; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2019; San Juan de Dios ;;;;;;;;;;0;0;;;;0;;;Problemas de sedimentación en la planta potabilizadora 
72;2020-00055;EPIDEMIC; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;30/6/2020;  ;;25;;;;;;;;0;0;;;;0;;;Un total de 17 hombres y 8 mujeres contagiados. 
73;20100;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/11/2020; Calle San Diego  ;;;;;;;;;;128735.53;83997468;;;;0;;;Producto de las fuertes lluvias se presenta margen del río, erosión avanzada, problemas de socavación, destrucción y afectación directa de gaviones [...] 
74;20097;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/11/2020; Calle Roble ;;;;;;;;;;42911.84;27999156;;;;0;;;Producto de las fuertes lluvias se presenta margen del río, erosión avanzada, problemas de socavación, afectación potencial a viviendas y a la calle [...] 
75;20098;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/11/2020; Urbanización La Luchita  ;;;;;;;;;;57765.94;37691171;;;;0;;;Producto de las fuertes lluvias se presenta margen del río, erosión avanzada, problemas de socavación, afectación directa a un muro de gaviones [...] 
76;20101;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/11/2020; Barrio Fusilera Corazón de Jesús  ;;;;;;;;;;128735.53;83997468;;;;0;;;Producto de las fuertes lluvias se presenta margen del río, erosión avanzada, problemas de socavación, destrucción y afectación directa de gaviones [...] 
77;22041;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;31/5/2022; San Juan de Dios ;;;;;;;35;;35;0;0;;;;0;;;35 personas permanecen en albergues debido a las fuertes lluvias y al riesgo de deslizamientos.  
78;22064;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;5/6/2022; San Juan de Dios ;;;;;;;;;26;0;0;;;;0;;;26 personas en un albergue debido a las fuertes lluvias 
79;21975;ALLUVION; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;16/9/2022; San Juan de Dios. ;;;;;;;;;;0;0;;;;0;;;Se presentan viviendas afectas debido a crecida del rio cañas, el cual invadió las calles y dejo viviendas anegadas. 
80;22324;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Calle San Diego ;;;;;;;;;;636953.32;345617110;;;;0;;;Ríos y quebradas: Margen del río, erosión avanzada, problemas de socavación, destrucción y afectación directa de gaviones existentes que actualmente [...] 
81;22326;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Cruz Roja  ;;;;;;;;;;170994.18;92783116;;;;0;;;Ríos y quebradas: Margen del río, erosión avanzada, problemas de socavación, riesgo de afectación sobre calle de acceso.  
82;22327;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Blanca Durán  ;;;;;;;;;;341988.36;185566233;;;;0;;;Ríos y quebradas: Margen del río, erosión avanzada, problemas de socavación, destrucción y afectación directa de estructuras previas de protección [...] 
83;22340;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Urb. La Luchita  ;;;;;;;;;;56113.96;30447983;;;;0;;;Ríos y quebradas: Margen del río, erosión avanzada, problemas de socavación, afectación directa a un muro de gaviones existente que actualmente [...] 
84;22341;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Urb. La Luchita  ;;;;;;;;;;59847.96;32474090;;;;0;;;Ríos y quebradas: Margen del río, erosión avanzada, problemas de socavación, afectación directa a un muro de gaviones existente que actualmente [...] 
85;22343;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Calle Roble  ;;;;;;;;;;1685768.6;914714548;;;;0;;;Ríos y quebradas: Margen del río, erosión avanzada, problemas de socavación, afectación potencial a viviendas y a la calle que comunica Las [...] 
86;22346;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Calle Antigua  ;;;;;;;;;;367513.53;199416441;;;;0;;;Ríos y quebradas: Margen del río, erosión avanzada, problemas de socavación, afectación directa a un muro de gaviones existente que actualmente [...] 
87;22368;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; San Juan de Dios ;;;;;2;;8;;;37100.04;20000000;;;;0;;;Viviendas dañadas. 
88;22369;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; San Juan de Dios ;;;;;25;;100;;;927501;500000000;;;;0;;;Viviendas dañadas. 
89;22370;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; San Juan de Dios ;;;;28;;;112;;;1038801.12;560000000;;;;0;;;Viviendas destruidas. 
90;22384;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Sector Cruz Roja ;;;;;;;2;;;2856.7;1540000;;;;0;;;Ayuda social 
91;22382;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Centro ;;;;;;;3;;;612.15;330000;;;;0;;;Ayuda social 
92;22386;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Cruz Roja ;;;;;;;185;;;98880.88;53305000;;;;0;;;Ayuda social 
93;22412;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Robles ;;;;;;;5;;;2597;1400000;;;;0;;;Ayuda social 
94;22418;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Vasconia ;;;;;;;2;;;1650.95;890000;;;;0;;;Ayuda social 
95;22411;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Proyecto La Lucha ;;;;;;;5;;;2847.43;1535000;;;;0;;;Ayuda social 
96;22410;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Bella Vista ;;;;;;;5;;;1057.35;570000;;;;0;;;Ayuda social 
97;22413;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Sector Escuela ;;;;;;;8;;;4860.11;2620000;;;;0;;;Ayuda social 
98;22414;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Sector Iglesia Católica ;;;;;;;10;;;5286.76;2850000;;;;0;;;Ayuda social 
99;22356;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; San Juan De Dios ;;;;;;;;;;8293.25;4500000;1;;;0;;;Educación: Riesgo de inundación, daños estructurales. 
100;22417;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; La Fuente ;;;;;;;8;;;6140.06;3310000;;;;0;;;Ayuda social 
101;22385;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; centro ;;;;;;;56;;;26387.4;14225000;;;;0;;;Ayuda social 
102;22416;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Sector Puente Cañas ;;;;;;;18;;;8718.51;4700000;;;;0;;;Ayuda social 
103;22415;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; Sector Novedades ;;;;;;;10;;;4136.65;2230000;;;;0;;;Ayuda social 
104;22367;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2022; San Juan de Dios ;;;;;23;;92;;;213325.23;115000000;;;;0;;;Viviendas dañadas 
